#Data tag : 24v2 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/pb) | recorded(/pb) |
| 163657:1745 | 04/28/11 18:02:21 | 46   | 46   | 0.740894880    | 0.733803612   |
| 163659:1745 | 04/28/11 19:15:22 | 234  | 234  | 3.275399020    | 3.238177444   |
| 163660:1745 | 04/28/11 23:46:52 | 19   | 19   | 0.242014953    | 0.152175053   |
| 163661:1745 | 04/29/11 00:19:38 | 8    | 8    | 0.100789642    | 0.025029084   |
| 163662:1745 | 04/29/11 00:27:22 | 110  | 110  | 1.359133187    | 1.330926163   |
| 163663:1745 | 04/29/11 01:39:15 | 96   | 96   | 1.123871741    | 1.015692006   |
| 163664:1745 | 04/29/11 03:13:51 | 143  | 143  | 1.600544358    | 1.550966249   |
| 163668:1745 | 04/29/11 05:37:39 | 90   | 90   | 0.934349808    | 0.923468731   |
| 163738:1748 | 04/30/11 02:36:59 | 207  | 207  | 3.326776405    | 3.288460329   |
| 163757:1749 | 04/30/11 11:22:03 | 14   | 14   | 0.215788183    | 0.205716116   |
| 163758:1749 | 04/30/11 11:40:39 | 176  | 176  | 2.490503052    | 2.422385754   |
| 163759:1749 | 04/30/11 15:32:57 | 233  | 233  | 2.932314551    | 2.865515517   |
| 163760:1749 | 04/30/11 19:00:48 | 135  | 135  | 1.534114938    | 1.508288583   |
| 163761:1749 | 04/30/11 21:20:27 | 104  | 104  | 1.113166059    | 1.106069809   |
| 163763:1749 | 04/30/11 22:54:15 | 33   | 33   | 0.342312815    | 0.340145808   |
| 163765:1749 | 04/30/11 23:28:17 | 133  | 133  | 1.327315325    | 1.307086670   |
| 163795:1753 | 05/01/11 15:03:40 | 14   | 14   | 0.277339776    | 0.267614565   |
| 163796:1753 | 05/01/11 15:22:19 | 94   | 94   | 1.779674593    | 1.752269496   |
| 163817:1755 | 05/02/11 02:20:48 | 555  | 555  | 10.253364298   | 9.997493633   |
| 163869:1756 | 05/03/11 09:49:30 | 31   | 31   | 0.553077824    | 0.534562313   |
| 166346:1835 | 06/01/11 15:34:47 | 60   | 60   | 1.684390800    | 1.656587101   |
| 167078:1873 | 06/16/11 21:15:54 | 48   | 48   | 1.264724425    | 1.241324378   |
| 167098:1875 | 06/17/11 02:18:28 | 95   | 95   | 2.422219357    | 2.383193685   |
| 167102:1875 | 06/17/11 06:41:08 | 153  | 153  | 3.178222923    | 3.136770726   |
| 167103:1875 | 06/17/11 09:28:54 | 52   | 52   | 0.997581147    | 0.949753484   |
| 167151:1880 | 06/18/11 03:25:40 | 23   | 23   | 0.618767536    | 0.600155355   |
| 167281:1883 | 06/20/11 20:20:01 | 250  | 250  | 6.217689475    | 6.129423212   |
| 167282:1883 | 06/21/11 00:07:33 | 156  | 156  | 3.192509043    | 3.114180212   |
| 167284:1883 | 06/21/11 03:09:42 | 1181 | 1181 | 18.951789357   | 18.756580319  |
| 167551:1889 | 06/24/11 07:10:22 | 169  | 169  | 4.928200231    | 4.821769798   |
